symbol,base,quote,type,futures_available,active,spot,future
MOVE/USDT,MOVE,USDT,spot,True,True,True,True
MOVR/BTC,MOVR,BTC,spot,True,True,True,True
MOVR/USDT,MOVR,USDT,spot,True,True,True,True
MTL/BTC,MTL,BTC,spot,True,True,True,True
MTL/USDT,MTL,USDT,spot,True,True,True,True
MUBARAK/USDT,MUBARAK,USDT,spot,True,True,True,True
NEAR/BTC,NEAR,BTC,spot,True,True,True,True
NEAR/USDT,NEAR,USDT,spot,True,True,True,True
NEIRO/USDT,NEIRO,USDT,spot,True,True,True,True
NEO/BTC,NEO,BTC,spot,True,True,True,True
NEO/USDT,NEO,USDT,spot,True,True,True,True
NEWT/USDT,NEWT,USDT,spot,True,True,True,True
NEXO/BTC,NEXO,BTC,spot,True,True,True,True
NEXO/USDT,NEXO,USDT,spot,True,True,True,True
NFP/BTC,NFP,BTC,spot,True,True,True,True
NFP/USDT,NFP,USDT,spot,True,True,True,True
NIL/USDT,NIL,USDT,spot,True,True,True,True
NKN/BTC,NKN,BTC,spot,True,True,True,True
NKN/USDT,NKN,USDT,spot,True,True,True,True
NMR/BTC,NMR,BTC,spot,True,True,True,True
NMR/USDT,NMR,USDT,spot,True,True,True,True
NOT/USDT,NOT,USDT,spot,True,True,True,True
NTRN/USDT,NTRN,USDT,spot,True,True,True,True
NXPC/USDT,NXPC,USDT,spot,True,True,True,True
OG/BTC,OG,BTC,spot,True,True,True,True
OG/USDT,OG,USDT,spot,True,True,True,True
OGN/BTC,OGN,BTC,spot,True,True,True,True
OGN/USDT,OGN,USDT,spot,True,True,True,True
OM/BTC,OM,BTC,spot,True,True,True,True
OM/USDT,OM,USDT,spot,True,True,True,True
OMNI/BTC,OMNI,BTC,spot,True,True,True,True
OMNI/USDT,OMNI,USDT,spot,True,True,True,True
ONDO/USDT,ONDO,USDT,spot,True,True,True,True
ONE/USDT,ONE,USDT,spot,True,True,True,True
ONG/BTC,ONG,BTC,spot,True,True,True,True
ONG/USDT,ONG,USDT,spot,True,True,True,True
ONT/BTC,ONT,BTC,spot,True,True,True,True
ONT/USDT,ONT,USDT,spot,True,True,True,True
OP/BTC,OP,BTC,spot,True,True,True,True
OP/USDT,OP,USDT,spot,True,True,True,True
ORCA/USDT,ORCA,USDT,spot,True,True,True,True
ORDI/BTC,ORDI,BTC,spot,True,True,True,True
ORDI/USDT,ORDI,USDT,spot,True,True,True,True
OSMO/USDT,OSMO,USDT,spot,True,True,True,True
OXT/BTC,OXT,BTC,spot,True,True,True,True
OXT/USDT,OXT,USDT,spot,True,True,True,True
PARTI/USDT,PARTI,USDT,spot,True,True,True,True
PAXG/BTC,PAXG,BTC,spot,True,True,True,True
PAXG/USDT,PAXG,USDT,spot,True,True,True,True
PENDLE/BTC,PENDLE,BTC,spot,True,True,True,True
PENDLE/USDT,PENDLE,USDT,spot,True,True,True,True
PENGU/USDT,PENGU,USDT,spot,True,True,True,True
PEOPLE/BTC,PEOPLE,BTC,spot,True,True,True,True
PEOPLE/USDT,PEOPLE,USDT,spot,True,True,True,True
PEPE/USDT,PEPE,USDT,spot,True,True,True,True
PERP/USDT,PERP,USDT,spot,True,True,True,True
PHA/BTC,PHA,BTC,spot,True,True,True,True
PHA/USDT,PHA,USDT,spot,True,True,True,True
PHB/BTC,PHB,BTC,spot,True,True,True,True
PHB/USDT,PHB,USDT,spot,True,True,True,True
PIVX/BTC,PIVX,BTC,spot,True,True,True,True
PIVX/USDT,PIVX,USDT,spot,True,True,True,True
PIXEL/USDT,PIXEL,USDT,spot,True,True,True,True
PNUT/BTC,PNUT,BTC,spot,True,True,True,True
PNUT/USDT,PNUT,USDT,spot,True,True,True,True
POL/BTC,POL,BTC,spot,True,True,True,True
POL/USDT,POL,USDT,spot,True,True,True,True
POLYX/BTC,POLYX,BTC,spot,True,True,True,True
POLYX/USDT,POLYX,USDT,spot,True,True,True,True
POND/USDT,POND,USDT,spot,True,True,True,True
PORTAL/BTC,PORTAL,BTC,spot,True,True,True,True
PORTAL/USDT,PORTAL,USDT,spot,True,True,True,True
PORTO/USDT,PORTO,USDT,spot,True,True,True,True
POWR/BTC,POWR,BTC,spot,True,True,True,True
POWR/USDT,POWR,USDT,spot,True,True,True,True
PROM/USDT,PROM,USDT,spot,True,True,True,True
PSG/USDT,PSG,USDT,spot,True,True,True,True
PUNDIX/USDT,PUNDIX,USDT,spot,True,True,True,True
PYR/BTC,PYR,BTC,spot,True,True,True,True
PYR/USDT,PYR,USDT,spot,True,True,True,True
PYTH/BTC,PYTH,BTC,spot,True,True,True,True
PYTH/USDT,PYTH,USDT,spot,True,True,True,True
QI/USDT,QI,USDT,spot,True,True,True,True
QKC/USDT,QKC,USDT,spot,True,True,True,True
QNT/BTC,QNT,BTC,spot,True,True,True,True
QNT/USDT,QNT,USDT,spot,True,True,True,True
QTUM/BTC,QTUM,BTC,spot,True,True,True,True
QTUM/USDT,QTUM,USDT,spot,True,True,True,True
QUICK/USDT,QUICK,USDT,spot,True,True,True,True
RAD/USDT,RAD,USDT,spot,True,True,True,True
RARE/BTC,RARE,BTC,spot,True,True,True,True
RARE/USDT,RARE,USDT,spot,True,True,True,True
RAY/USDT,RAY,USDT,spot,True,True,True,True
RDNT/USDT,RDNT,USDT,spot,True,True,True,True
RED/BTC,RED,BTC,spot,True,True,True,True
RED/USDT,RED,USDT,spot,True,True,True,True
REI/USDT,REI,USDT,spot,True,True,True,True
RENDER/BTC,RENDER,BTC,spot,True,True,True,True
RENDER/USDT,RENDER,USDT,spot,True,True,True,True
REQ/BTC,REQ,BTC,spot,True,True,True,True
REQ/USDT,REQ,USDT,spot,True,True,True,True
RESOLV/USDT,RESOLV,USDT,spot,True,True,True,True
REZ/USDT,REZ,USDT,spot,True,True,True,True
RIF/BTC,RIF,BTC,spot,True,True,True,True
RIF/USDT,RIF,USDT,spot,True,True,True,True
RLC/BTC,RLC,BTC,spot,True,True,True,True
RLC/USDT,RLC,USDT,spot,True,True,True,True
RONIN/BTC,RONIN,BTC,spot,True,True,True,True
RONIN/USDT,RONIN,USDT,spot,True,True,True,True
ROSE/BTC,ROSE,BTC,spot,True,True,True,True
ROSE/USDT,ROSE,USDT,spot,True,True,True,True
RPL/USDT,RPL,USDT,spot,True,True,True,True
RSR/USDT,RSR,USDT,spot,True,True,True,True
RUNE/BTC,RUNE,BTC,spot,True,True,True,True
RUNE/USDT,RUNE,USDT,spot,True,True,True,True
RVN/BTC,RVN,BTC,spot,True,True,True,True
RVN/USDT,RVN,USDT,spot,True,True,True,True
S/BTC,S,BTC,spot,True,True,True,True
S/USDT,S,USDT,spot,True,True,True,True
SAGA/BTC,SAGA,BTC,spot,True,True,True,True
SAGA/USDT,SAGA,USDT,spot,True,True,True,True
SAHARA/USDT,SAHARA,USDT,spot,True,True,True,True
SAND/BTC,SAND,BTC,spot,True,True,True,True
SAND/USDT,SAND,USDT,spot,True,True,True,True
SANTOS/BTC,SANTOS,BTC,spot,True,True,True,True
SANTOS/USDT,SANTOS,USDT,spot,True,True,True,True
SC/USDT,SC,USDT,spot,True,True,True,True
SCR/BTC,SCR,BTC,spot,True,True,True,True
SCR/USDT,SCR,USDT,spot,True,True,True,True
SCRT/BTC,SCRT,BTC,spot,True,True,True,True
SCRT/USDT,SCRT,USDT,spot,True,True,True,True
SEI/BTC,SEI,BTC,spot,True,True,True,True
SEI/USDT,SEI,USDT,spot,True,True,True,True
SFP/BTC,SFP,BTC,spot,True,True,True,True
SFP/USDT,SFP,USDT,spot,True,True,True,True
SHELL/BTC,SHELL,BTC,spot,True,True,True,True
SHELL/USDT,SHELL,USDT,spot,True,True,True,True
SHIB/USDT,SHIB,USDT,spot,True,True,True,True
SIGN/USDT,SIGN,USDT,spot,True,True,True,True
SKL/BTC,SKL,BTC,spot,True,True,True,True
SKL/USDT,SKL,USDT,spot,True,True,True,True
SLF/BTC,SLF,BTC,spot,True,True,True,True
SLF/USDT,SLF,USDT,spot,True,True,True,True
SLP/USDT,SLP,USDT,spot,True,True,True,True
SNX/BTC,SNX,BTC,spot,True,True,True,True
SNX/USDT,SNX,USDT,spot,True,True,True,True
SOL/BTC,SOL,BTC,spot,True,True,True,True
SOL/USDT,SOL,USDT,spot,True,True,True,True
SOLV/USDT,SOLV,USDT,spot,True,True,True,True
SOPH/USDT,SOPH,USDT,spot,True,True,True,True
SPELL/USDT,SPELL,USDT,spot,True,True,True,True
